,排名,学校名称,省市,类型,总分
0,1,清华大学,北京,综合,852.5
1,2,北京大学,北京,综合,746.7
2,3,浙江大学,浙江,综合,649.2
3,4,上海交通大学,上海,综合,625.9
4,5,南京大学,江苏,综合,566.1
5,6,复旦大学,上海,综合,556.7
6,7,中国科学技术大学,安徽,理工,526.4
7,8,华中科技大学,湖北,综合,497.7
8,9,武汉大学,湖北,综合,488
9,10,中山大学,广东,综合,457.2
10,11,西安交通大学,陕西,综合,452.5
11,12,哈尔滨工业大学,黑龙江,理工,450.2
12,13,北京航空航天大学,北京,理工,445.1
13,14,北京师范大学,北京,师范,440.9
14,15,同济大学,上海,理工,439
15,16,四川大学,四川,综合,435.7
16,17,东南大学,江苏,综合,432.7
17,18,中国人民大学,北京,综合,409.7
18,19,南开大学,天津,综合,402.1
19,20,北京理工大学,北京,理工,395.6
20,21,天津大学,天津,理工,390.3
21,22,山东大学,山东,综合,387.9
22,23,厦门大学,福建,综合,383.3
23,24,吉林大学,吉林,综合,379.5
24,25,华南理工大学,广东,理工,379.4
25,26,中南大学,湖南,综合,378.6
26,27,大连理工大学,辽宁,理工,365.1
27,28,西北工业大学,陕西,理工,359.6
28,29,华东师范大学,上海,师范,358
29,30,中国农业大学,北京,农业,351.5
30,31,湖南大学,湖南,综合,348.3
31,32,电子科技大学,四川,理工,334.8
32,33,北京科技大学,北京,理工,321.8
33,34,重庆大学,重庆,综合,320.9
34,35,南京航空航天大学,江苏,理工,319.5
35,36,南京理工大学,江苏,理工,317.1
36,37,东北大学,辽宁,理工,314
37,38,苏州大学,江苏,综合,306.8
38,39,华中农业大学,湖北,农业,300.5
39,40,兰州大学,甘肃,综合,300.4
40,41,西安电子科技大学,陕西,理工,299.4
41,42,华东理工大学,上海,理工,294.6
42,43,北京交通大学,北京,理工,293.6
43,44,华中师范大学,湖北,师范,292.4
44,45,上海大学,上海,综合,290
45,46,南方科技大学,广东,综合,289
46,47,南京农业大学,江苏,农业,283.2
47,48,暨南大学,广东,综合,282.6
48,49,中国海洋大学,山东,综合,281.2
49,50,南京师范大学,江苏,师范,279.9
50,51,哈尔滨工程大学,黑龙江,理工,279.4
51,52,武汉理工大学,湖北,理工,277.6
52,53,西南交通大学,四川,理工,277.3
53,54,中国地质大学（武汉）,湖北,理工,274.9
54,55,北京邮电大学,北京,理工,273.7
55,56,东北师范大学,吉林,师范,272.5
56,57,中国石油大学（北京）,北京,理工,272.4
57,58,河海大学,江苏,理工,271.8
58,59,江南大学,江苏,综合,271.5
59,60,中国矿业大学,江苏,理工,264.9
60,61,西北大学,陕西,综合,262.4
61,62,上海科技大学,上海,综合,261.5
62,63,北京工业大学,北京,理工,260.5
63,64,北京化工大学,北京,理工,259.7
64,65,深圳大学,广东,综合,259.1
65,66,西南大学,重庆,综合,257.5
66,67,华南师范大学,广东,师范,254.4
67,68,西北农林科技大学,陕西,农业,251.1
68,69,扬州大学,江苏,综合,250.5
69,70,中国地质大学（北京）,北京,理工,248.8
70,71,中国矿业大学（北京）,北京,理工,247
71,72,江苏大学,江苏,综合,245.9
72,73,东华大学,上海,理工,245.2
73,74,中国石油大学（华东）,山东,理工,244.8
74,75,宁波大学,浙江,综合,244.3
75,76,福州大学,福建,理工,243.8
76,77,北京林业大学,北京,林业,242.3
77,78,合肥工业大学,安徽,理工,240.5
78,79,陕西师范大学,陕西,师范,239.9
79,80,华北电力大学,北京,理工,235.7
80,81,浙江工业大学,浙江,理工,235.5
81,82,南京工业大学,江苏,理工,235.4
82,83,郑州大学,河南,综合,234.9
83,84,云南大学,云南,综合,234.1
84,85,湖南师范大学,湖南,师范,233.4
85,85,首都师范大学,北京,师范,233.4
86,87,南昌大学,江西,综合,228.4
87,88,华南农业大学,广东,农业,227.1
88,89,上海理工大学,上海,理工,221.4
89,90,安徽大学,安徽,综合,219.2
90,91,长安大学,陕西,理工,218.9
91,92,燕山大学,河北,理工,216.7
92,93,南京信息工程大学,江苏,理工,216.6
93,94,湖北大学,湖北,综合,214.5
94,95,广东工业大学,广东,理工,214.2
95,96,南京邮电大学,江苏,综合,213.9
96,97,河南大学,河南,综合,212.9
97,98,上海师范大学,上海,师范,212.8
98,99,杭州电子科技大学,浙江,理工,211.6
99,100,广州大学,广东,综合,211.1
100,101,广西大学,广西,综合,210.9
101,102,福建师范大学,福建,师范,210.2
102,103,湘潭大学,湖南,综合,210.1
103,104,浙江师范大学,浙江,师范,209.8
104,105,山东师范大学,山东,师范,207.4
105,106,河北工业大学,天津,理工,203.4
106,107,河北大学,河北,综合,201.7
107,108,青岛大学,山东,综合,201.4
108,109,大连海事大学,辽宁,理工,200.9
109,109,杭州师范大学,浙江,师范,200.9
110,111,浙江理工大学,浙江,理工,200.3
111,112,东北农业大学,黑龙江,农业,198.5
112,112,太原理工大学,山西,理工,198.5
113,114,武汉科技大学,湖北,理工,197.9
114,115,南京林业大学,江苏,林业,197
115,116,山西大学,山西,综合,196.6
116,117,东北林业大学,黑龙江,林业,194.8
117,118,北京建筑大学,北京,理工,194.1
118,119,辽宁大学,辽宁,综合,192.9
119,120,福建农林大学,福建,农业,192.5
120,121,江苏师范大学,江苏,师范,192.4
121,122,华侨大学,福建,综合,191.7
122,123,内蒙古大学,内蒙古,综合,191.6
123,124,汕头大学,广东,综合,191.2
124,125,江西师范大学,江西,师范,188.8
125,126,长沙理工大学,湖南,理工,188.3
126,127,昆明理工大学,云南,理工,187.5
127,128,西安理工大学,陕西,理工,187.2
128,129,常州大学,江苏,理工,186.4
129,130,黑龙江大学,黑龙江,综合,184.1
130,130,湖北工业大学,湖北,理工,184.1
131,132,西安建筑科技大学,陕西,理工,182.6
132,133,西南石油大学,四川,理工,181.9
133,134,贵州大学,贵州,综合,181.6
134,135,河北师范大学,河北,师范,181.1
135,136,安徽师范大学,安徽,师范,180.8
136,137,重庆邮电大学,重庆,理工,179.9
137,138,中国计量大学,浙江,理工,178.3
138,139,济南大学,山东,综合,177.1
139,140,辽宁师范大学,辽宁,师范,176.7
140,141,四川农业大学,四川,农业,176.2
141,142,江苏科技大学,江苏,理工,175.9
142,143,河南师范大学,河南,师范,175.7
143,144,温州大学,浙江,综合,175.5
144,145,天津师范大学,天津,师范,174.8
145,146,南通大学,江苏,综合,174.6
146,147,上海海事大学,上海,理工,173.6
147,148,海南大学,海南,综合,172.7
148,149,山东科技大学,山东,综合,172.3
149,150,天津工业大学,天津,理工,171.2
150,151,广西师范大学,广西,师范,170.8
151,151,武汉工程大学,湖北,理工,170.8
152,153,新疆大学,新疆,综合,170.3
153,154,上海海洋大学,上海,农业,169.9
154,155,河南农业大学,河南,农业,169.7
155,156,成都理工大学,四川,理工,168.3
156,157,三峡大学,湖北,综合,167.9
157,158,国际关系学院,北京,综合,167.5
158,159,浙江农林大学,浙江,林业,167
159,160,湖南农业大学,湖南,农业,165.9
160,161,陕西科技大学,陕西,理工,165.2
161,162,北方工业大学,北京,理工,164.8
162,163,西北师范大学,甘肃,师范,164
163,164,曲阜师范大学,山东,师范,163.3
164,164,石河子大学,新疆,综合,163.3
165,166,山东农业大学,山东,农业,162.1
166,167,云南师范大学,云南,师范,162
167,168,石家庄铁道大学,河北,理工,161.3
168,169,安徽农业大学,安徽,农业,160.5
169,170,安徽工业大学,安徽,理工,160.4
170,171,四川师范大学,四川,师范,159.7
171,172,青岛科技大学,山东,理工,158.3
172,173,湖南科技大学,湖南,综合,158.1
173,174,重庆交通大学,重庆,理工,157.3
174,175,河北农业大学,河北,农业,156.8
175,176,长春理工大学,吉林,理工,156.7
176,176,天津理工大学,天津,理工,156.7
177,178,河南科技大学,河南,综合,156.6
178,179,武汉纺织大学,湖北,理工,155.6
179,180,中北大学,山西,理工,155
180,181,齐鲁工业大学,山东,理工,154.6
181,182,北京信息科技大学,北京,理工,154.5
182,183,沈阳农业大学,辽宁,农业,154.4
183,184,宁夏大学,宁夏,综合,153.4
184,185,天津科技大学,天津,理工,153.3
185,186,吉林农业大学,吉林,农业,151.2
186,186,沈阳建筑大学,辽宁,理工,151.2
187,186,苏州科技大学,江苏,理工,151.2
188,189,上海电力大学,上海,理工,151
189,190,长江大学,湖北,综合,150.8
190,191,西安科技大学,陕西,理工,150.3
191,191,浙江海洋大学,浙江,农业,150.3
192,193,哈尔滨师范大学,黑龙江,师范,148.9
193,194,河南工业大学,河南,理工,148.8
194,194,沈阳航空航天大学,辽宁,理工,148.8
195,196,哈尔滨理工大学,黑龙江,理工,148.6
196,197,华东交通大学,江西,理工,147.9
197,198,上海工程技术大学,上海,理工,147.4
198,198,延边大学,吉林,综合,147.4
199,200,河北科技大学,河北,理工,146.9
200,200,沈阳师范大学,辽宁,师范,146.9
201,202,西南科技大学,四川,理工,146.7
202,202,中南林业科技大学,湖南,林业,146.7
203,204,大连工业大学,辽宁,理工,146.6
204,205,重庆师范大学,重庆,师范,146.5
205,206,南昌航空大学,江西,理工,146.2
206,207,河南理工大学,河南,理工,146.1
207,208,南华大学,湖南,综合,145
208,209,重庆理工大学,重庆,理工,144.9
209,210,渤海大学,辽宁,综合,142.5
210,211,华北理工大学,河北,综合,142.2
211,212,兰州理工大学,甘肃,理工,142
212,213,安徽理工大学,安徽,理工,141.9
213,213,大连大学,辽宁,综合,141.9
214,215,海南师范大学,海南,师范,141.8
215,216,东北电力大学,吉林,理工,141.1
216,217,中国民航大学,天津,理工,141
217,218,大连交通大学,辽宁,理工,140.7
218,219,成都信息工程大学,四川,理工,140.6
219,220,江西农业大学,江西,农业,140.1
