,排名,学校名称,省市,类型,总分
0,1,北京协和医学院,北京,医药,283.6
1,2,首都医科大学,北京,医药,206.7
2,3,南京医科大学,江苏,医药,205.8
3,4,中国医科大学,辽宁,医药,189.9
4,5,天津医科大学,天津,医药,187.7
5,6,南方医科大学,广东,医药,178.7
6,7,哈尔滨医科大学,黑龙江,医药,174.9
7,8,上海中医药大学,上海,医药,169.7
8,9,中国药科大学,江苏,医药,163.9
9,10,重庆医科大学,重庆,医药,154.9
10,11,温州医科大学,浙江,医药,154.3
11,12,北京中医药大学,北京,医药,153.8
12,13,河北医科大学,河北,医药,152.5
13,14,南京中医药大学,江苏,医药,144.6
14,15,大连医科大学,辽宁,医药,144.3
15,16,广州医科大学,广东,医药,139
16,17,安徽医科大学,安徽,医药,136.5
17,18,广州中医药大学,广东,医药,129.4
18,19,广西医科大学,广西,医药,127.2
19,20,福建医科大学,福建,医药,125
20,21,天津中医药大学,天津,医药,119.3
21,22,沈阳药科大学,辽宁,医药,117.2
22,23,浙江中医药大学,浙江,医药,116.7
23,24,徐州医科大学,江苏,医药,113.4
24,25,山西医科大学,山西,医药,108.7
25,26,成都中医药大学,四川,医药,101.5
26,27,辽宁中医药大学,辽宁,医药,100.2
27,28,宁夏医科大学,宁夏,医药,98.8
28,29,西南医科大学,四川,医药,98.7
29,30,新疆医科大学,新疆,医药,98
30,31,黑龙江中医药大学,黑龙江,医药,97.7
31,32,锦州医科大学,辽宁,医药,96.4
32,33,昆明医科大学,云南,医药,96.3
33,34,内蒙古医科大学,内蒙古,医药,94.1
34,35,新乡医学院,河南,医药,93.4
35,36,江西中医药大学,江西,医药,92.8
36,37,湖北中医药大学,湖北,医药,92
37,38,湖南中医药大学,湖南,医药,91.9
38,39,山东中医药大学,山东,医药,90.5
39,40,河南中医药大学,河南,医药,89.5
40,41,遵义医科大学,贵州,医药,88.6
41,42,广东医科大学,广东,医药,87.1
42,43,福建中医药大学,福建,医药,86.9
43,44,贵州医科大学,贵州,医药,85.7
44,45,广西中医药大学,广西,医药,85.6
45,46,蚌埠医学院,安徽,医药,82.8
46,47,安徽中医药大学,安徽,医药,82.5
47,48,湖北医药学院,湖北,医药,78.2
48,49,海南医学院,海南,医药,76.9
49,50,滨州医学院,山东,医药,76.4
50,51,沈阳医学院,辽宁,医药,75.7
51,52,广东药科大学,广东,医药,75.5
52,53,杭州医学院,浙江,医药,75.2
53,54,长春中医药大学,吉林,医药,75.1
54,55,川北医学院,四川,医药,74.8
55,55,桂林医学院,广西,医药,74.8
56,57,皖南医学院,安徽,医药,71.9
57,58,河北中医学院,河北,医药,71.3
58,59,成都医学院,四川,医药,71.2
59,60,承德医学院,河北,医药,71
60,61,陕西中医药大学,陕西,医药,69.1
61,62,山东第一医科大学,山东,医药,68.8
62,63,潍坊医学院,山东,医药,66.2
63,64,云南中医药大学,云南,医药,65.5
64,65,贵州中医药大学,贵州,医药,60.8
65,65,河北北方学院,河北,医药,60.8
66,67,甘肃中医药大学,甘肃,医药,59.6
67,68,牡丹江医学院,黑龙江,医药,58.7
68,69,山西中医药大学,山西,医药,57.7
69,70,济宁医学院,山东,医药,56.8
70,71,右江民族医学院,广西,医药,56.7
71,72,西藏藏医药大学,西藏,医药,55.8
72,73,赣南医学院,江西,医药,55.5
73,74,齐齐哈尔医学院,黑龙江,医药,54.1
74,75,西安医学院,陕西,医药,52.3
75,76,内蒙古科技大学包头医学院,内蒙古,医药,49.9
76,76+,长治医学院,山西,医药,
77,76+,湖南医药学院,湖南,医药,
78,76+,吉林医药学院,吉林,医药,
